cenario, mind_load, mind_save, steps
./Cenarios/exp01/exp01-cenario-10x10-017.state, trainned_minds/complete.trainned.exp01.1.mind, trainned_minds/complete.trainned.exp01.1.mind, 131
./Cenarios/exp01/exp01-cenario-10x10-091.state, trainned_minds/complete.trainned.exp01.1.mind, trainned_minds/complete.trainned.exp01.1.mind, 45
./Cenarios/exp01/exp01-cenario-10x10-001.state, trainned_minds/complete.trainned.exp01.1.mind, trainned_minds/complete.trainned.exp01.1.mind, 41
./Cenarios/exp01/exp01-cenario-10x10-045.state, trainned_minds/complete.trainned.exp01.1.mind, trainned_minds/complete.trainned.exp01.1.mind, 35
./Cenarios/exp01/exp01-cenario-10x10-066.state, trainned_minds/complete.trainned.exp01.1.mind, trainned_minds/complete.trainned.exp01.1.mind, 16
./Cenarios/exp01/exp01-cenario-10x10-093.state, trainned_minds/complete.trainned.exp01.1.mind, trainned_minds/complete.trainned.exp01.1.mind, 18
./Cenarios/exp01/exp01-cenario-10x10-031.state, trainned_minds/complete.trainned.exp01.1.mind, trainned_minds/complete.trainned.exp01.1.mind, 12
./Cenarios/exp01/exp01-cenario-10x10-056.state, trainned_minds/complete.trainned.exp01.1.mind, trainned_minds/complete.trainned.exp01.1.mind, 15
./Cenarios/exp01/exp01-cenario-10x10-019.state, trainned_minds/complete.trainned.exp01.1.mind, trainned_minds/complete.trainned.exp01.1.mind, 57
./Cenarios/exp01/exp01-cenario-10x10-055.state, trainned_minds/complete.trainned.exp01.1.mind, trainned_minds/complete.trainned.exp01.1.mind, 20
./Cenarios/exp01/exp01-cenario-10x10-011.state, trainned_minds/complete.trainned.exp01.1.mind, trainned_minds/complete.trainned.exp01.1.mind, 12
./Cenarios/exp01/exp01-cenario-10x10-077.state, trainned_minds/complete.trainned.exp01.1.mind, trainned_minds/complete.trainned.exp01.1.mind, 44
./Cenarios/exp01/exp01-cenario-10x10-089.state, trainned_minds/complete.trainned.exp01.1.mind, trainned_minds/complete.trainned.exp01.1.mind, 17
./Cenarios/exp01/exp01-cenario-10x10-037.state, trainned_minds/complete.trainned.exp01.1.mind, trainned_minds/complete.trainned.exp01.1.mind, 19
./Cenarios/exp01/exp01-cenario-10x10-071.state, trainned_minds/complete.trainned.exp01.1.mind, trainned_minds/complete.trainned.exp01.1.mind, 21
./Cenarios/exp01/exp01-cenario-10x10-072.state, trainned_minds/complete.trainned.exp01.1.mind, trainned_minds/complete.trainned.exp01.1.mind, 22
