cenario, mind_load, mind_save, steps
./Cenarios/exp01/exp01-cenario-10x10-001.state, null, trainned_minds/exp01-cenario-10x10-001.state.trainned.mind, 148
./Cenarios/exp01/exp01-cenario-10x10-002.state, null, trainned_minds/exp01-cenario-10x10-002.state.trainned.mind, 159
./Cenarios/exp01/exp01-cenario-10x10-003.state, null, trainned_minds/exp01-cenario-10x10-003.state.trainned.mind, 132
./Cenarios/exp01/exp01-cenario-10x10-004.state, null, trainned_minds/exp01-cenario-10x10-004.state.trainned.mind, 161
./Cenarios/exp01/exp01-cenario-10x10-005.state, null, trainned_minds/exp01-cenario-10x10-005.state.trainned.mind, 174
./Cenarios/exp01/exp01-cenario-10x10-006.state, null, trainned_minds/exp01-cenario-10x10-006.state.trainned.mind, 131
./Cenarios/exp01/exp01-cenario-10x10-007.state, null, trainned_minds/exp01-cenario-10x10-007.state.trainned.mind, 164
./Cenarios/exp01/exp01-cenario-10x10-008.state, null, trainned_minds/exp01-cenario-10x10-008.state.trainned.mind, 158
./Cenarios/exp01/exp01-cenario-10x10-009.state, null, trainned_minds/exp01-cenario-10x10-009.state.trainned.mind, 111
./Cenarios/exp01/exp01-cenario-10x10-010.state, null, trainned_minds/exp01-cenario-10x10-010.state.trainned.mind, 170
./Cenarios/exp01/exp01-cenario-10x10-011.state, null, trainned_minds/exp01-cenario-10x10-011.state.trainned.mind, 58
./Cenarios/exp01/exp01-cenario-10x10-012.state, null, trainned_minds/exp01-cenario-10x10-012.state.trainned.mind, 173
./Cenarios/exp01/exp01-cenario-10x10-013.state, null, trainned_minds/exp01-cenario-10x10-013.state.trainned.mind, 219
./Cenarios/exp01/exp01-cenario-10x10-014.state, null, trainned_minds/exp01-cenario-10x10-014.state.trainned.mind, 170
./Cenarios/exp01/exp01-cenario-10x10-015.state, null, trainned_minds/exp01-cenario-10x10-015.state.trainned.mind, 177
./Cenarios/exp01/exp01-cenario-10x10-016.state, null, trainned_minds/exp01-cenario-10x10-016.state.trainned.mind, 166
./Cenarios/exp01/exp01-cenario-10x10-017.state, null, trainned_minds/exp01-cenario-10x10-017.state.trainned.mind, 131
./Cenarios/exp01/exp01-cenario-10x10-018.state, null, trainned_minds/exp01-cenario-10x10-018.state.trainned.mind, 142
./Cenarios/exp01/exp01-cenario-10x10-019.state, null, trainned_minds/exp01-cenario-10x10-019.state.trainned.mind, 206
./Cenarios/exp01/exp01-cenario-10x10-020.state, null, trainned_minds/exp01-cenario-10x10-020.state.trainned.mind, 144
./Cenarios/exp01/exp01-cenario-10x10-021.state, null, trainned_minds/exp01-cenario-10x10-021.state.trainned.mind, 98
./Cenarios/exp01/exp01-cenario-10x10-022.state, null, trainned_minds/exp01-cenario-10x10-022.state.trainned.mind, 230
./Cenarios/exp01/exp01-cenario-10x10-023.state, null, trainned_minds/exp01-cenario-10x10-023.state.trainned.mind, 80
./Cenarios/exp01/exp01-cenario-10x10-024.state, null, trainned_minds/exp01-cenario-10x10-024.state.trainned.mind, 204
./Cenarios/exp01/exp01-cenario-10x10-025.state, null, trainned_minds/exp01-cenario-10x10-025.state.trainned.mind, 112
./Cenarios/exp01/exp01-cenario-10x10-026.state, null, trainned_minds/exp01-cenario-10x10-026.state.trainned.mind, 156
./Cenarios/exp01/exp01-cenario-10x10-027.state, null, trainned_minds/exp01-cenario-10x10-027.state.trainned.mind, 40
./Cenarios/exp01/exp01-cenario-10x10-028.state, null, trainned_minds/exp01-cenario-10x10-028.state.trainned.mind, 89
./Cenarios/exp01/exp01-cenario-10x10-029.state, null, trainned_minds/exp01-cenario-10x10-029.state.trainned.mind, 95
./Cenarios/exp01/exp01-cenario-10x10-030.state, null, trainned_minds/exp01-cenario-10x10-030.state.trainned.mind, 213
./Cenarios/exp01/exp01-cenario-10x10-031.state, null, trainned_minds/exp01-cenario-10x10-031.state.trainned.mind, 137
./Cenarios/exp01/exp01-cenario-10x10-032.state, null, trainned_minds/exp01-cenario-10x10-032.state.trainned.mind, 186
./Cenarios/exp01/exp01-cenario-10x10-033.state, null, trainned_minds/exp01-cenario-10x10-033.state.trainned.mind, 92
./Cenarios/exp01/exp01-cenario-10x10-034.state, null, trainned_minds/exp01-cenario-10x10-034.state.trainned.mind, 126
./Cenarios/exp01/exp01-cenario-10x10-035.state, null, trainned_minds/exp01-cenario-10x10-035.state.trainned.mind, 191
./Cenarios/exp01/exp01-cenario-10x10-036.state, null, trainned_minds/exp01-cenario-10x10-036.state.trainned.mind, 176
./Cenarios/exp01/exp01-cenario-10x10-037.state, null, trainned_minds/exp01-cenario-10x10-037.state.trainned.mind, 155
./Cenarios/exp01/exp01-cenario-10x10-038.state, null, trainned_minds/exp01-cenario-10x10-038.state.trainned.mind, 171
./Cenarios/exp01/exp01-cenario-10x10-039.state, null, trainned_minds/exp01-cenario-10x10-039.state.trainned.mind, 199
./Cenarios/exp01/exp01-cenario-10x10-040.state, null, trainned_minds/exp01-cenario-10x10-040.state.trainned.mind, 195
./Cenarios/exp01/exp01-cenario-10x10-041.state, null, trainned_minds/exp01-cenario-10x10-041.state.trainned.mind, 132
./Cenarios/exp01/exp01-cenario-10x10-042.state, null, trainned_minds/exp01-cenario-10x10-042.state.trainned.mind, 163
./Cenarios/exp01/exp01-cenario-10x10-043.state, null, trainned_minds/exp01-cenario-10x10-043.state.trainned.mind, 188
./Cenarios/exp01/exp01-cenario-10x10-044.state, null, trainned_minds/exp01-cenario-10x10-044.state.trainned.mind, 121
./Cenarios/exp01/exp01-cenario-10x10-045.state, null, trainned_minds/exp01-cenario-10x10-045.state.trainned.mind, 115
./Cenarios/exp01/exp01-cenario-10x10-046.state, null, trainned_minds/exp01-cenario-10x10-046.state.trainned.mind, 166
./Cenarios/exp01/exp01-cenario-10x10-047.state, null, trainned_minds/exp01-cenario-10x10-047.state.trainned.mind, 99
./Cenarios/exp01/exp01-cenario-10x10-048.state, null, trainned_minds/exp01-cenario-10x10-048.state.trainned.mind, 130
./Cenarios/exp01/exp01-cenario-10x10-049.state, null, trainned_minds/exp01-cenario-10x10-049.state.trainned.mind, 73
./Cenarios/exp01/exp01-cenario-10x10-050.state, null, trainned_minds/exp01-cenario-10x10-050.state.trainned.mind, 170
./Cenarios/exp01/exp01-cenario-10x10-051.state, null, trainned_minds/exp01-cenario-10x10-051.state.trainned.mind, 199
./Cenarios/exp01/exp01-cenario-10x10-052.state, null, trainned_minds/exp01-cenario-10x10-052.state.trainned.mind, 210
./Cenarios/exp01/exp01-cenario-10x10-053.state, null, trainned_minds/exp01-cenario-10x10-053.state.trainned.mind, 101
./Cenarios/exp01/exp01-cenario-10x10-054.state, null, trainned_minds/exp01-cenario-10x10-054.state.trainned.mind, 128
